turbine,controllertime,modifiedtime,turok,atpwrin,atpwrout,reactpwrin,reactpwrout
"BA882E94-8620-4249-AE5E-00951053EAFF","2024-02-15T23:40:00","2024-02-15T18:24:00",123683.8,17611.0,19174585.0,83977.0,1688154.0
"9152DDD3-FBF3-41FA-81B4-01407B25F5AA","2024-02-15T23:40:00","2024-02-15T18:20:00",93914.6,42335.0,41437715.0,1489497.0,1265496.0
"BED8687F-E06F-485D-8C9B-01A09FF179FE","2024-02-15T23:40:00","2024-02-15T18:18:00",126771.6,36733.0,39832768.0,905144.0,1005774.0
"A7AA74FE-A1CE-4487-A786-06DE12BA7600","2024-02-15T23:40:00","2024-02-15T18:19:00",110712.9,34726.0,41668080.0,1018590.0,1801186.0
"DF54CC6B-A0FB-4336-A67D-0758ACAA4487","2024-02-16T00:00:00","2024-02-15T18:19:00",121389.0,37272.0,44859697.0,675388.0,1556141.0
"DF54CC6B-A0FB-4336-A67D-0758ACAA4487","2024-02-16T00:10:00","2024-02-15T18:19:00",121389.2,37272.0,44859713.0,675390.0,1556141.0
"442DEB69-9EA9-484E-ACBF-07C77008D35A","2024-02-15T23:40:00","2024-02-15T18:18:00",117972.1,44540.0,42763608.0,1043366.0,2088181.0
"E8B1137D-FFB1-4FF9-8520-0A50D4D3A623","2024-02-15T23:40:00","2024-02-15T18:19:00",118914.2,36557.0,41073303.0,704551.0,2528928.0
"BD7F49C1-5468-4C1A-9A7C-0B6C117F43E0","2024-02-15T23:40:00","2024-02-15T18:20:00",119341.5,42080.0,36044726.0,497790.0,928682.0
"ADA2A224-4D77-4A99-AB87-0CA8B9D8C5AC","2024-02-15T23:40:00","2024-02-15T18:20:00",126560.9,48618.0,33677204.0,447872.0,1022797.0
"10D1473B-F3A7-4B2C-B4B1-0D1D55163E86","2024-02-15T23:40:00","2024-02-15T18:20:00",130165.5,16576.0,39046919.0,751182.0,1041850.0
"C9A8525B-DF11-4DF1-B309-0D60E0D4D5F0","2024-02-15T23:40:00","2024-02-15T18:24:00",25109.4,13734.0,3482805.0,102889.0,234738.0
"D6CEDF93-A361-4AFB-8B0F-0DF7897DB9E9","2024-02-15T23:40:00","2024-02-15T18:19:00",77541.4,8488.0,35337082.0,886911.0,1224933.0
"D4634865-0AD5-454A-93BD-113D3F574D63","2024-02-15T23:30:00","2024-02-15T18:20:00",15430.8,10060.0,1602266.0,49811.0,96206.0
"2999BE94-95E4-459B-9DAD-11A738B0E9DD","2024-02-15T23:50:00","2024-02-15T18:23:00",102716.0,11670.0,17490278.0,490017.0,1002249.0
"8D07E8C1-141B-4459-AD5A-17852E94720A","2024-02-15T23:40:00","2024-02-15T18:18:00",83012.0,52301.0,22187876.0,387887.0,594660.0
"F5FB7400-C644-4AA2-B925-18C18F5D77E4","2024-02-16T00:00:00","2024-02-15T18:19:00",118846.6,16923.0,26889773.0,522193.0,2125799.0
"F5FB7400-C644-4AA2-B925-18C18F5D77E4","2024-02-16T00:10:00","2024-02-15T18:19:00",118846.7,16923.0,26889792.0,522197.0,2125807.0
"C9F64607-D55B-446E-9F8E-19E49937F54C","2024-02-15T23:40:00","2024-02-15T18:18:00",70013.1,13355.0,28758961.0,410889.0,911503.0
"79C33232-4527-428C-A36D-19E6EC62613D","2024-02-15T23:30:00","2024-02-15T18:18:00",47530.9,23292.0,13646866.0,244714.0,361155.0
"92FAF036-B705-4CB7-B9EF-1A0BDD05207A","2024-02-15T23:40:00","2024-02-15T18:19:00",94018.1,44097.0,39775134.0,899926.0,1271214.0
"C08BB920-4810-4331-9B9B-1B573769BE68","2024-02-15T23:20:00","2024-02-15T18:20:00",16437.3,12253.0,1932812.0,88544.0,121005.0
"C8775CE5-B132-435E-BEAE-1E30B3CFB894","2024-02-15T23:40:00","2024-02-15T18:19:00",105841.3,42865.0,41257563.0,627809.0,1323889.0
"63D386EF-7B6C-44CE-B3FA-1FA9FBD349C7","2024-02-15T23:40:00","2024-02-15T18:24:00",59533.7,21263.0,7891203.0,122449.0,1976719.0
"4810CE45-CE10-4BD6-BAB1-2060E81CC8EE","2024-02-15T23:40:00","2024-02-15T18:24:00",96603.6,21471.0,13325031.0,337464.0,2358216.0
"B4AAAB59-94C3-4045-A080-21CC22AB4595","2024-02-15T23:40:00","2024-02-15T18:20:00",130450.6,35546.0,43026426.0,569872.0,1196801.0
"AE06D32A-9EF2-4A69-ADF0-24E9E2D0111E","2024-02-15T23:40:00","2024-02-15T18:26:00",95750.8,33585.0,29181763.0,467329.0,1125213.0
"AE06D32A-9EF2-4A69-ADF0-24E9E2D0111E","2024-02-15T23:50:00","2024-02-15T18:26:00",95750.9,33585.0,29181827.0,467330.0,1125215.0
"B71FF0BB-227B-4189-A290-2543190B05E6","2024-02-15T23:40:00","2024-02-15T18:19:00",36992.1,30584.0,13086424.0,159843.0,431980.0
"3785DA89-BDF5-4DCD-BD4A-265C7DDDBBB8","2024-02-15T23:40:00","2024-02-15T18:20:00",97278.8,39555.0,35198312.0,844392.0,1627284.0
"9791FAE7-64D5-45B8-B489-27867EFB5D7D","2024-02-15T23:40:00","2024-02-15T18:19:00",65494.8,28733.0,25109927.0,844673.0,1062978.0
"89C834F0-9857-4775-AA1A-2DAE044FA4AC","2024-02-15T23:40:00","2024-02-15T18:24:00",115858.7,34784.0,39508800.0,454063.0,1470935.0
